#------------------------------------------------------
#Config file loaded. Selected parameters:
#
#Lattice = 10_10
#Model = DIPOLE-DIPOLE with n = 6
#
#runType = ANNEAL
#r_cut = 1
#T_min, T_max, dT = 0.05, 1.05, 0.05
#
#equilSteps = 2000
#ensembleSize = 180000
#------------------------------------------------------
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi OP tau(px) tau(py) tau(pz) tau(E) tau(OP)
0.05 -100.001 10000.1 1.46404e-11 2.1434e-22 -2578.8 -2.76368e-20 10000.1 100 0.995719 -2.88931e+15 -nan 0
0.1 -100.001 10000.1 1.46404e-11 2.1434e-22 -644.699 -1.38184e-20 10000.1 100 0.995719 -2.88931e+15 -nan 0
0.15 -178.224 33439.5 0.0013233 0.00198889 8.64161e+06 15373.2 9945.46 6.05891 4.1168 57.3313 59358.3 86.822
0.2 -200.001 40000.2 1.03412e-11 1.0694e-22 -644.699 -3.44719e-21 10000.1 100 0 -nan -nan 3.72529e-11
0.25 -200.001 40000.2 2.35702e-05 3.33333e-05 -412.112 154.724 10000.1 -59867 0.666483 -4344.45 3.748e+11 1.63164e-05
0.3 -200 39999.7 0.000455691 0.000644444 -279.884 2492.02 9999.99 1.8934 1.8225 60.938 1.93919e+10 0.000905394
0.35 -199.985 39993.7 0.00579942 0.00822222 -147.982 27149.9 9999.24 1.50216 2.71979 89.9236 1.51443e+09 0.0197438
0.4 -199.92 39968 0.0279271 0.0401556 81.3772 114234 9995.95 1.46629 2.87175 90.5406 2.98676e+08 0.12904
0.45 -199.781 39913.1 0.0751684 0.1083 385.721 264711 9989.01 1.61282 2.61987 94.207 1.11492e+08 0.327078
0.5 -199.421 39770.7 0.18847 0.277778 987.213 562255 9971.08 1.74301 2.60121 99.8435 4.2343e+07 0.689247
0.55 -198.821 39534.5 0.357961 0.557589 1822.98 906108 9940.7 1.68 2.68261 99.9812 1.9875e+07 1.46988
0.6 -197.741 39110.7 0.622724 1.04022 3024.47 1.26187e+06 9885.95 1.78543 2.62301 99.9614 1.01828e+07 1.31653
0.65 -196.011 38437.7 0.968648 1.79934 4721.02 1.53727e+06 9794.48 1.72499 2.57466 99.9766 5.51462e+06 2.97813
0.7 -193.516 37477.6 1.34925 2.83872 6908.21 1.68805e+06 9663.44 1.70958 2.38737 99.8779 3.18466e+06 4.08159
0.75 -189.904 36109.8 1.76127 4.28242 9580.49 1.82633e+06 9467.92 1.73794 2.33198 99.9867 1.92755e+06 5.19369
0.8 -185.038 34313 2.1803 6.14959 13379.3 2.02481e+06 9198.3 1.68427 2.35938 99.9787 1.14772e+06 6.46336
0.85 -178.094 31831.5 2.63143 8.63739 18293.4 2.33862e+06 8806.2 1.69678 2.15156 99.9534 684361 7.67386
0.9 -169.271 28823.3 3.08795 11.6488 24435 2.72492e+06 8283.48 1.72443 2.02301 99.9953 406608 10.6711
0.95 -156.34 24713.6 3.61819 15.8513 34891.6 3.37136e+06 7495.81 1.66041 1.85064 99.999 212108 15.3256
1 -138.386 19586.9 4.21182 21.305 50622 4.13772e+06 6320.79 1.6423 1.81071 99.9942 97137.5 24.7629
1.05 -112.689 13364.7 4.91576 28.8958 70087.7 5.22881e+06 4532.88 1.48293 1.72682 99.9994 36847.2 38.9977
