#T(K) E_av Esqrd_av P_av Psqrd_av Cv
1550 -41.7502 0 -0.0143926 0 0
1450 -43.9382 0 0.0886543 0 0
1350 -46.4142 0 0.0359906 0 0
1250 -50.7144 0 0.0732843 0 0
1150 -40.0338 0 0.612373 0 0
1050 -30.7638 0 0.675871 0 0
950 -16.4381 0 0.748616 0 0
850 -13.1465 0 0.765772 0 0
750 -4.71424 0 0.797953 0 0
650 -4.16871 0 0.807098 0 0
550 -1.66716 0 0.818621 0 0
450 -0.843178 0 0.816637 0 0
350 0.00657836 0 0.816556 0 0
250 -0.145257 0 0.824454 0 0
150 -0.145394 0 0.810226 0 0
50 -0.145172 0 0.807839 0 0
