#T(K) E_av Esqrd_av P_av Psqrd_av Cv
200 -158.07 0 0.951641 0 0
225 -157.976 0 0.950985 0 0
250 -157.881 0 0.950679 0 0
275 -157.625 0 0.949943 0 0
300 -157.321 0 0.949115 0 0
325 -156.88 0 0.947935 0 0
350 -156.309 0 0.946294 0 0
375 -155.439 0 0.943194 0 0
400 -154.427 0 0.939879 0 0
425 -152.973 0 0.934607 0 0
450 -151.333 0 0.928445 0 0
475 -149.323 0 0.920475 0 0
500 -146.717 0 0.908495 0 0
525 -143.781 0 0.894891 0 0
550 -140.124 0 0.875979 0 0
575 -135.445 0 0.845934 0 0
600 -130.139 0 0.808526 0 0
625 -123.328 0 0.747176 0 0
650 -114.366 0 0.611706 0 0
675 -103.852 0 0.398934 0 0
700 -95.2293 0 0.2456 0 0
725 -88.8529 0 0.172598 0 0
750 -83.2599 0 0.128478 0 0
775 -78.7478 0 0.104183 0 0
800 -74.6349 0 0.092605 0 0
825 -71.3035 0 0.0824838 0 0
850 -67.9591 0 0.0730912 0 0
875 -65.2187 0 0.0685075 0 0
900 -62.5449 0 0.0645762 0 0
