# Run began:Wed Jan 18 13:37:07 2017

# Key run parameters:
# Nx Ny = 5 5
# model = DIPOLE-DIPOLE
# (T_min,T_max,dT) = (0.2, 5, 0.2)
# equilStepsPerSite = 2000
# sampleFreq = 1
# r_cut (dipole-models) = 2
# ensemble_size = 1000000
#
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi
0.2 -24.615 606.036 1.06087 1.22081 1581.5 138338
0.4 -19.9515 404.297 1.99329 4.82613 18084.8 618619
0.6 -14.8223 225.751 2.58536 7.95041 7802.57 612299
0.8 -12.1593 154.765 2.91697 10.098 5015.69 576349
1 -10.3405 114.617 3.14919 11.758 3569.74 533991
1.2 -9.0062 89.4499 3.32375 13.0802 2687.79 491465
1.4 -7.97175 72.4679 3.46332 14.1885 2112.28 454645
1.6 -7.15235 60.5125 3.56956 15.0647 1696.51 421201
1.8 -6.48554 51.797 3.66565 15.8737 1394.65 392725
2 -5.9329 45.2596 3.73939 16.5145 1167.45 367209
2.2 -5.47686 40.3467 3.80268 17.0611 992.68 342963
2.4 -5.08099 36.4103 3.86119 17.584 853.719 323382
2.6 -4.74217 33.2813 3.90671 18.0023 741.121 305727
2.8 -4.43366 30.6792 3.95065 18.3978 652.572 289091
3 -4.17231 28.5673 3.98986 18.7569 575.538 274436
3.2 -3.94788 26.8804 4.0181 19.0203 511.989 260662
3.4 -3.72991 25.3467 4.05363 19.3497 459.141 248969
3.6 -3.54288 24.0975 4.07633 19.5591 413.518 237138
3.8 -3.37541 23.0537 4.1022 19.803 374.826 227125
4 -3.22058 22.1396 4.125 20.0187 341.389 217809
4.2 -3.08006 21.3613 4.14415 20.211 312.467 209775
4.4 -2.94725 20.651 4.16353 20.3969 286.87 201887
4.6 -2.83236 20.0736 4.18326 20.5875 264.368 194745
4.8 -2.72325 19.5511 4.19754 20.7201 244.482 187409
