# Run began:Fri Jan 20 12:09:53 2017

# Key run parameters:
# Nx Ny = 20 20
# model = ISING
# (T_min,T_max,dT) = (0.2, 5, 0.2)
# equilStepsPerSite = 2000
# sampleFreq = 1
# r_cut (dipole-models) = 2
# ensemble_size = 180000
#
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi tau_pz
0.2 -800.004 640004 400.002 160001 -2578.8 -2.06304e+07 -nan
0.4 -800.004 640004 400.002 160001 -644.699 -1.03152e+07 -nan
0.6 -800 639996 400.001 160000 -283.487 -6.8582e+06 0.738893
0.8 -799.855 639766 399.965 159971 -106.743 -4.71349e+06 -0.831432
1 -798.869 638197 399.713 159770 169.114 -1.20804e+06 -0.945638
1.2 -795.441 632761 398.814 159054 708.863 7.45099e+06 0.0926261
1.4 -787.253 619877 396.561 157269 1618.37 2.8244e+07 1.935
1.6 -771.255 595100 391.833 153560 3015.55 7.79029e+07 2.07506
1.8 -743.769 553759 382.757 146584 5077.55 2.08003e+08 1.7825
2 -698.207 488652 364.549 133198 8408.09 7.00274e+08 7.6396
2.2 -619.379 386285 315.2 102231 15909.2 6.07575e+09 98.0919
2.4 -495.032 248322 182.458 41753.2 16447.5 1.63672e+10 82.0495
2.6 -412.936 172508 97.442 13932.9 8545.91 7.92309e+09 42.7721
2.8 -363.373 133683 68.3683 7167.91 6081.09 4.134e+09 21.7553
3 -326.917 108318 54.9548 4677.5 4650.26 2.56455e+09 12.9844
3.2 -298.15 90220.6 46.7301 3403.09 3760.24 1.7688e+09 8.27121
3.4 -274.534 76625.2 41.7752 2726.14 3152.98 1.33926e+09 5.95906
3.6 -254.533 65966 37.7398 2227.94 2638.88 1.03621e+09 4.47164
3.8 -237.489 57532.6 35.2278 1941.98 2273.72 8.56263e+08 3.43208
4 -223.013 50828.5 33.1479 1721.22 1983.38 7.2231e+08 3.09217
4.2 -210.115 45214.5 31.4625 1553.89 1753.26 6.23325e+08 2.63097
4.4 -198.719 40525.9 29.9408 1404.36 1553.48 5.3582e+08 2.21149
4.6 -188.6 36582.8 28.8324 1302.67 1388.6 4.75644e+08 2.0601
4.8 -179.579 33240.4 27.8366 1213.33 1248.82 4.24008e+08 1.8958
