#MCS AutoCorr_Pz
0 2.63706e+10
1 2.63659e+10
2 2.63629e+10
3 2.63609e+10
4 2.63596e+10
5 2.63586e+10
6 2.6358e+10
7 2.63575e+10
8 2.63572e+10
9 2.63569e+10
10 2.63567e+10
11 2.63565e+10
12 2.63564e+10
13 2.63562e+10
14 2.63561e+10
15 2.63561e+10
16 2.6356e+10
17 2.6356e+10
18 2.6356e+10
19 2.6356e+10
20 2.63559e+10
21 2.63559e+10
22 2.63559e+10
23 2.63559e+10
24 2.63559e+10
25 2.63558e+10
26 2.63558e+10
27 2.63558e+10
28 2.63558e+10
29 2.63558e+10
30 2.63558e+10
31 2.63557e+10
32 2.63557e+10
33 2.63557e+10
34 2.63557e+10
35 2.63557e+10
36 2.63557e+10
37 2.63557e+10
38 2.63558e+10
39 2.63557e+10
40 2.63558e+10
41 2.63558e+10
42 2.63558e+10
43 2.63558e+10
44 2.63558e+10
45 2.63558e+10
46 2.63558e+10
47 2.63558e+10
48 2.63558e+10
49 2.63558e+10
50 2.63557e+10
51 2.63557e+10
52 2.63557e+10
53 2.63557e+10
54 2.63557e+10
55 2.63558e+10
56 2.63558e+10
57 2.63558e+10
58 2.63557e+10
59 2.63557e+10
60 2.63557e+10
61 2.63557e+10
62 2.63557e+10
63 2.63557e+10
64 2.63557e+10
65 2.63558e+10
66 2.63558e+10
67 2.63558e+10
68 2.63558e+10
69 2.63557e+10
70 2.63557e+10
71 2.63557e+10
72 2.63558e+10
73 2.63558e+10
74 2.63558e+10
75 2.63558e+10
76 2.63558e+10
77 2.63558e+10
78 2.63558e+10
79 2.63557e+10
80 2.63558e+10
81 2.63558e+10
82 2.63557e+10
83 2.63557e+10
84 2.63557e+10
85 2.63557e+10
86 2.63557e+10
87 2.63557e+10
88 2.63557e+10
89 2.63557e+10
90 2.63558e+10
91 2.63558e+10
92 2.63558e+10
93 2.63558e+10
94 2.63558e+10
95 2.63558e+10
96 2.63558e+10
97 2.63558e+10
98 2.63558e+10
99 2.63558e+10
