#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
4.16667e-06 0 295.711 295.711 100
4.16667e-06 20 -83.906 -83.906 4
4.16667e-06 40 -89.3992 -89.3992 2.44949
4.16667e-06 60 -90.6189 -90.6189 3.16228
4.16667e-06 80 -91.326 -91.326 4
4.16667e-06 100 -91.326 -91.326 4
4.16667e-06 120 -91.326 -91.326 4
4.16667e-06 140 -91.326 -91.326 4
4.16667e-06 160 -91.326 -91.326 4
4.16667e-06 180 -91.326 -91.326 4
4.16667e-06 200 -91.326 -91.326 4
4.16667e-06 220 -91.326 -91.326 4
4.16667e-06 240 -91.326 -91.326 4
4.16667e-06 260 -91.326 -91.326 4
4.16667e-06 280 -91.326 -91.326 4
4.16667e-06 300 -91.326 -91.326 4
4.16667e-06 320 -91.1707 -91.1707 3.16228
4.16667e-06 340 -91.326 -91.326 4
4.16667e-06 360 -91.326 -91.326 4
4.16667e-06 380 -91.326 -91.326 4
4.16667e-06 400 -91.326 -91.326 4
4.16667e-06 420 -91.326 -91.326 4
4.16667e-06 440 -91.326 -91.326 4
4.16667e-06 460 -91.326 -91.326 4
4.16667e-06 480 -91.326 -91.326 4
4.16667e-06 500 -91.326 -91.326 4
4.16667e-06 520 -91.326 -91.326 4
4.16667e-06 540 -91.326 -91.326 4
4.16667e-06 560 -91.326 -91.326 4
4.16667e-06 580 -91.326 -91.326 4
4.16667e-06 600 -91.326 -91.326 4
4.16667e-06 620 -91.326 -91.326 4
4.16667e-06 640 -91.326 -91.326 4
4.16667e-06 660 -91.326 -91.326 4
4.16667e-06 680 -91.326 -91.326 4
4.16667e-06 700 -91.326 -91.326 4
4.16667e-06 720 -91.326 -91.326 4
4.16667e-06 740 -91.326 -91.326 4
4.16667e-06 760 -91.326 -91.326 4
4.16667e-06 780 -91.326 -91.326 4
4.16667e-06 800 -91.326 -91.326 4
4.16667e-06 820 -91.326 -91.326 4
4.16667e-06 840 -91.326 -91.326 4
4.16667e-06 860 -91.326 -91.326 4
4.16667e-06 880 -91.326 -91.326 4
4.16667e-06 900 -91.326 -91.326 4
4.16667e-06 920 -91.326 -91.326 4
4.16667e-06 940 -91.326 -91.326 4
4.16667e-06 960 -91.326 -91.326 4
4.16667e-06 980 -91.326 -91.326 4
4.16667e-06 1000 -91.36 -91.36 4
4.16667e-06 1020 -91.36 -91.36 4
4.16667e-06 1040 -91.36 -91.36 4
4.16667e-06 1060 -91.36 -91.36 4
4.16667e-06 1080 -91.36 -91.36 4
4.16667e-06 1100 -91.36 -91.36 4
4.16667e-06 1120 -91.36 -91.36 4
4.16667e-06 1140 -91.36 -91.36 4
4.16667e-06 1160 -91.36 -91.36 4
4.16667e-06 1180 -91.36 -91.36 4
4.16667e-06 1200 -91.36 -91.36 4
4.16667e-06 1220 -91.36 -91.36 4
4.16667e-06 1240 -91.36 -91.36 4
4.16667e-06 1260 -91.36 -91.36 4
4.16667e-06 1280 -91.36 -91.36 4
4.16667e-06 1300 -91.36 -91.36 4
4.16667e-06 1320 -91.36 -91.36 4
4.16667e-06 1340 -91.36 -91.36 4
4.16667e-06 1360 -91.36 -91.36 4
4.16667e-06 1380 -91.36 -91.36 4
4.16667e-06 1400 -90.9421 -90.9421 2
4.16667e-06 1420 -91.0671 -91.0671 3.16228
4.16667e-06 1440 -91.36 -91.36 4
4.16667e-06 1460 -91.36 -91.36 4
4.16667e-06 1480 -91.36 -91.36 4
4.16667e-06 1500 -91.36 -91.36 4
4.16667e-06 1520 -91.36 -91.36 4
4.16667e-06 1540 -91.36 -91.36 4
4.16667e-06 1560 -91.36 -91.36 4
4.16667e-06 1580 -91.36 -91.36 4
4.16667e-06 1600 -91.36 -91.36 4
4.16667e-06 1620 -91.36 -91.36 4
4.16667e-06 1640 -91.36 -91.36 4
4.16667e-06 1660 -91.36 -91.36 4
4.16667e-06 1680 -91.36 -91.36 4
4.16667e-06 1700 -91.36 -91.36 4
4.16667e-06 1720 -91.36 -91.36 4
4.16667e-06 1740 -91.36 -91.36 4
4.16667e-06 1760 -91.36 -91.36 4
4.16667e-06 1780 -91.36 -91.36 4
4.16667e-06 1800 -91.36 -91.36 4
4.16667e-06 1820 -91.36 -91.36 4
4.16667e-06 1840 -91.1707 -91.1707 3.16228
4.16667e-06 1860 -91.326 -91.326 4
4.16667e-06 1880 -91.326 -91.326 4
4.16667e-06 1900 -91.326 -91.326 4
4.16667e-06 1920 -91.326 -91.326 4
4.16667e-06 1940 -91.326 -91.326 4
4.16667e-06 1960 -91.326 -91.326 4
4.16667e-06 1980 -91.326 -91.326 4
4.16667e-06 2000 -91.326 -91.326 4
