# Run began:Tue Jan 24 19:30:12 2017

# Key run parameters:
# Nx Ny = 10 10
# model = DIPOLE-DIPOLE
# (T_min,T_max,dT) = (0.05, 1.05, 0.05)
# equilStepsPerSite = 2000
# sampleFreq = 1
# r_cut (dipole-models) = 2
# ensemble_size = 180000
#
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi OP tau(px) tau(py) tau(pz) tau(E) tau(OP)
0.05 -99.2957 9869.73 1.67686 3.42042 468470 1.41239e+07 138.4 99.0407 0.373976 100 1900.42 7.35118
0.1 -115.009 13228.4 0.00315762 0.00451111 14581 52233.6 3543.41 9.58051 6.64371 99.0813 9.81931e+06 90.1983
0.15 -121.257 14712.9 0.000487118 0.000688889 49602.5 5327.65 8682.02 2.9829 4.07655 -819.616 8.47304e+06 99.559
0.2 -122.853 15092.7 0.00177562 0.00251111 -220.472 14551.8 9999.76 5.58532 2.19784 88.9754 1.27258e+10 0.0295328
0.25 -122.799 15079.7 0.029537 0.0421556 112.755 191628 9995.26 5.05276 1.76514 80.7669 6.91002e+08 0.502146
0.3 -122.523 15012.7 0.158222 0.233822 1004.62 807629 9970.01 4.7998 1.76529 99.8058 1.15255e+08 2.68761
0.35 -121.681 14809.6 0.481668 0.778911 3031.26 1.81331e+06 9890.65 3.87606 1.73274 76.3281 2.9862e+07 6.04822
0.4 -119.434 14274.9 1.08486 2.10332 7501.82 2.6876e+06 9654 4.01861 1.64143 99.8978 8.95933e+06 12.8333
0.45 -114.146 13063.5 1.88404 4.83121 19546.7 3.30501e+06 9029.02 3.30132 1.72324 99.7147 2.41025e+06 24.3334
0.5 -88.6597 8128.97 3.39548 14.2372 124594 6.2848e+06 4851.79 2.26388 1.72164 99.972 121766 80.2704
0.55 -62.8924 3999.83 4.38521 22.7888 17023.4 7.50858e+06 843.904 1.80201 1.51516 99.9743 34426.5 34.2402
0.6 -57.3243 3318.13 4.63103 25.3986 10329.9 7.64389e+06 527.711 1.67639 1.30022 99.9963 17954.2 16.1039
0.65 -53.5563 2897.41 4.83032 27.612 8002.2 7.64111e+06 418.062 1.74812 1.30605 99.9995 12219.8 7.7246
0.7 -50.3354 2562.18 5.0136 29.7128 6755.08 7.58715e+06 354.622 1.6706 1.25172 99.9974 8927.47 5.79664
0.75 -47.6206 2296.13 5.18696 31.7886 5862.06 7.55687e+06 313.519 1.53481 1.23577 99.9985 7117.32 4.47006
0.8 -45.203 2071.81 5.31311 33.3933 5166.21 7.491e+06 289.918 1.54349 1.24469 99.9993 6007.68 3.34327
0.85 -43.1175 1888.12 5.44712 35.0473 4658.19 7.33981e+06 269.569 1.47454 1.15681 99.9981 5123.98 2.95052
0.9 -41.2683 1732.43 5.56069 36.5449 4205.79 7.25101e+06 249.993 1.57726 1.25889 99.9998 4374.91 2.4812
0.95 -39.5422 1593.25 5.68325 38.2025 3813.83 7.21086e+06 237.32 1.58884 1.2318 99.9251 3894.15 2.32869
1 -37.9376 1469.46 5.7766 39.4051 3504.06 7.00441e+06 225.462 1.46939 1.20789 99.9987 3477.86 1.97614
1.05 -36.5148 1363.8 5.88032 40.9017 3207.38 6.9887e+06 215.822 1.48239 1.13467 99.9997 3142.3 1.71858
