# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.748496 0.989555 1.00194 0.996403 0.929171
2 0.592271 0.985055 1.00194 0.992809 0.928871
3 0.492699 0.98123 1.00194 0.98922 0.928588
4 0.430896 0.977897 1.00194 0.985629 0.928317
5 0.386261 0.975163 1.00194 0.982042 0.92806
6 0.362226 0.972582 1.00194 0.978455 0.927806
7 0.354501 0.970125 1.00194 0.974871 0.927551
8 0.342483 0.96822 1.00194 0.97129 0.927309
9 0.327033 0.966407 1.00194 0.967709 0.927069
10 0.321024 0.964641 1.00194 0.964128 0.926829
11 0.321882 0.963228 1.00194 0.960546 0.926597
12 0.322741 0.962061 1.00194 0.956968 0.92637
13 0.319307 0.961323 1.00194 0.953392 0.926153
14 0.31244 0.960862 1.00194 0.949817 0.925945
15 0.31244 0.960233 1.00194 0.946241 0.92573
16 0.313299 0.959849 1.00194 0.942667 0.925519
17 0.324458 0.959787 1.00194 0.939094 0.925315
18 0.334758 0.959864 1.00194 0.93552 0.925116
19 0.330466 0.959895 1.00194 0.931948 0.924915
20 0.328749 0.959833 1.00194 0.928375 0.924712
21 0.313299 0.959649 1.00194 0.924803 0.924506
22 0.311582 0.959603 1.00194 0.92123 0.924302
23 0.304715 0.959557 1.00194 0.917658 0.924099
24 0.30729 0.959649 1.00194 0.914086 0.923901
25 0.309865 0.959311 1.00194 0.910513 0.92369
26 0.31244 0.959142 1.00194 0.906941 0.923485
27 0.303857 0.958988 1.00194 0.903369 0.923278
28 0.304715 0.95885 1.00194 0.899797 0.923072
29 0.310724 0.958773 1.00194 0.896224 0.922868
30 0.306432 0.958528 1.00194 0.892514 0.922654
31 0.308148 0.95819 1.00194 0.888804 0.922437
32 0.298706 0.958052 1.00194 0.885232 0.922232
33 0.294414 0.957821 1.00194 0.88166 0.922024
34 0.288406 0.957606 1.00194 0.877951 0.921825
35 0.288406 0.957253 1.00194 0.874242 0.921622
36 0.292698 0.956976 1.00194 0.870533 0.921422
37 0.302998 0.956731 1.00194 0.866824 0.921223
38 0.310724 0.956761 1.00194 0.863115 0.921032
39 0.305573 0.956869 1.00194 0.859406 0.920843
40 0.301281 0.956823 1.00194 0.855835 0.920643
41 0.296131 0.957038 1.00194 0.852264 0.920451
42 0.300423 0.957068 1.00194 0.848693 0.920255
43 0.294414 0.957222 1.00194 0.845123 0.920064
44 0.291839 0.957237 1.00194 0.841551 0.919868
45 0.288406 0.957376 1.00194 0.83798 0.919676
46 0.290981 0.957514 1.00194 0.834409 0.919483
47 0.293556 0.957898 1.00194 0.830839 0.919297
48 0.294414 0.958436 1.00194 0.827268 0.919116
49 0.283255 0.958743 1.00194 0.823697 0.918929
50 0.291839 0.958743 1.00194 0.820126 0.918733
51 0.30729 0.958758 1.00194 0.816556 0.918537
52 0.321024 0.958743 1.00194 0.812985 0.91834
53 0.323599 0.958528 1.00194 0.809414 0.918138
54 0.318449 0.958543 1.00194 0.805844 0.917944
55 0.324458 0.95862 1.00194 0.802273 0.917751
56 0.311582 0.958543 1.00194 0.798702 0.917553
57 0.302998 0.958589 1.00194 0.795132 0.917358
58 0.305573 0.958497 1.00194 0.791561 0.917159
59 0.309007 0.95819 1.00194 0.78799 0.916954
60 0.305573 0.957898 1.00194 0.78442 0.916752
61 0.308148 0.957652 1.00194 0.780849 0.916551
62 0.303857 0.957591 1.00194 0.777278 0.916355
63 0.299565 0.957499 1.00194 0.773708 0.916158
64 0.30729 0.957191 1.00194 0.770137 0.915954
65 0.309865 0.957191 1.00194 0.766566 0.915759
66 0.301281 0.957053 1.00194 0.762996 0.91556
67 0.291839 0.956946 1.00194 0.759425 0.915363
68 0.300423 0.957222 1.00194 0.755854 0.915177
69 0.315015 0.95736 1.00194 0.752284 0.914987
70 0.319307 0.957499 1.00194 0.748713 0.914798
71 0.321024 0.957652 1.00194 0.745142 0.914608
72 0.320166 0.957606 1.00194 0.741572 0.914413
73 0.313299 0.957883 1.00194 0.738001 0.914227
74 0.304715 0.95819 1.00194 0.734431 0.914042
75 0.293556 0.95822 1.00194 0.73086 0.913849
76 0.29699 0.958282 1.00194 0.72729 0.913658
77 0.302998 0.957975 1.00194 0.723719 0.913456
78 0.306432 0.958052 1.00194 0.720145 0.913264
79 0.304715 0.957929 1.00194 0.716574 0.913066
80 0.300423 0.957698 1.00194 0.713004 0.912867
81 0.29699 0.95756 1.00194 0.709433 0.912669
82 0.295273 0.957529 1.00194 0.705862 0.912474
83 0.288406 0.957483 1.00194 0.702292 0.912277
84 0.288406 0.957422 1.00194 0.698721 0.912082
85 0.293556 0.957237 1.00194 0.69515 0.911882
86 0.303857 0.957115 1.00194 0.69158 0.911685
87 0.315874 0.957068 1.00194 0.688009 0.911489
88 0.322741 0.95713 1.00194 0.684438 0.911295
89 0.316732 0.957176 1.00194 0.680868 0.911101
90 0.316732 0.957115 1.00194 0.677297 0.910905
91 0.298706 0.957053 1.00194 0.673726 0.910708
92 0.291839 0.957084 1.00194 0.670155 0.910514
93 0.29699 0.957222 1.00194 0.666585 0.91032
94 0.303857 0.957376 1.00194 0.663014 0.910127
95 0.302998 0.957468 1.00194 0.659443 0.909932
96 0.296131 0.95756 1.00194 0.655873 0.90974
97 0.297848 0.958005 1.00194 0.652302 0.909555
98 0.287547 0.958282 1.00194 0.648731 0.909368
99 0.28068 0.958159 1.00194 0.645161 0.909168
100 554.109 0.959265 -5.36026 3.05607e+07 0.908964
